name,station,time,id,nedbor
Oslo - Blindern,SN18700,11.09.2010,253,"0,5"
Oslo - Blindern,SN18700,12.09.2010,254,"13,7"
Oslo - Blindern,SN18700,13.09.2010,255,0
Oslo - Blindern,SN18700,14.09.2010,256,6
Oslo - Blindern,SN18700,15.09.2010,257,"17,9"
Oslo - Blindern,SN18700,16.09.2010,258,0
Oslo - Blindern,SN18700,17.09.2010,259,"0,1"
Oslo - Blindern,SN18700,18.09.2010,260,"0,1"
Oslo - Blindern,SN18700,19.09.2010,261,"0,2"
Oslo - Blindern,SN18700,20.09.2010,262,0
Oslo - Blindern,SN18700,21.09.2010,263,"14,7"
Oslo - Blindern,SN18700,22.09.2010,264,0
Oslo - Blindern,SN18700,23.09.2010,265,0
Oslo - Blindern,SN18700,24.09.2010,266,"4,3"
Oslo - Blindern,SN18700,25.09.2010,267,30
Oslo - Blindern,SN18700,26.09.2010,268,0
Oslo - Blindern,SN18700,27.09.2010,269,0
Oslo - Blindern,SN18700,28.09.2010,270,0
Oslo - Blindern,SN18700,29.09.2010,271,0
Oslo - Blindern,SN18700,30.09.2010,272,0
Oslo - Blindern,SN18700,01.10.2010,273,0
Oslo - Blindern,SN18700,02.10.2010,274,0
Oslo - Blindern,SN18700,03.10.2010,275,0
Oslo - Blindern,SN18700,04.10.2010,276,"26,5"
Oslo - Blindern,SN18700,05.10.2010,277,"0,1"
Oslo - Blindern,SN18700,06.10.2010,278,"1,8"
Oslo - Blindern,SN18700,07.10.2010,279,"19,4"
Oslo - Blindern,SN18700,08.10.2010,280,"0,1"
Oslo - Blindern,SN18700,09.10.2010,281,0
Oslo - Blindern,SN18700,10.10.2010,282,0
Oslo - Blindern,SN18700,11.10.2010,283,0
Oslo - Blindern,SN18700,12.10.2010,284,0
Oslo - Blindern,SN18700,13.10.2010,285,0
Oslo - Blindern,SN18700,14.10.2010,286,0
Oslo - Blindern,SN18700,15.10.2010,287,0
Oslo - Blindern,SN18700,16.10.2010,288,0
Oslo - Blindern,SN18700,17.10.2010,289,0
Oslo - Blindern,SN18700,18.10.2010,290,"0,5"
Oslo - Blindern,SN18700,19.10.2010,291,"0,7"
Oslo - Blindern,SN18700,20.10.2010,292,0
Oslo - Blindern,SN18700,21.10.2010,293,0
Oslo - Blindern,SN18700,22.10.2010,294,"0,4"
Oslo - Blindern,SN18700,23.10.2010,295,0
Oslo - Blindern,SN18700,24.10.2010,296,0
Oslo - Blindern,SN18700,25.10.2010,297,0
Oslo - Blindern,SN18700,26.10.2010,298,0
Oslo - Blindern,SN18700,27.10.2010,299,"3,1"
Oslo - Blindern,SN18700,28.10.2010,300,16
Oslo - Blindern,SN18700,29.10.2010,301,"4,3"
Oslo - Blindern,SN18700,30.10.2010,302,7
